Country_ISO,State_ID,Date,Sales
AD,AD-02,2020-01-31,2603
AD,AD-02,2020-02-29,56685
AD,AD-02,2020-03-31,73044
AD,AD-02,2020-04-30,93271
AD,AD-02,2020-05-31,64943
AD,AD-02,2020-06-30,53632
AD,AD-02,2020-07-31,26384
AD,AD-02,2020-08-31,44285
AD,AD-02,2020-09-30,28215
AD,AD-02,2020-10-31,30398
AD,AD-02,2020-11-30,91831
AD,AD-02,2020-12-31,81915
AD,AD-02,2021-01-31,36749
AD,AD-02,2021-02-28,38498
AD,AD-02,2021-03-31,29947
AD,AD-02,2021-04-30,3375
AD,AD-02,2021-05-31,72229
AD,AD-02,2021-06-30,35384
AD,AD-02,2021-07-31,40037
AD,AD-02,2021-08-31,73393
AD,AD-02,2021-09-30,36523
AD,AD-02,2021-10-31,70512
AD,AD-02,2021-11-30,70796
AD,AD-02,2021-12-31,3932
AD,AD-02,2022-01-31,66213
AD,AD-02,2022-02-28,12832
AD,AD-02,2022-03-31,40361
AD,AD-02,2022-04-30,21820
AD,AD-02,2022-05-31,13666
AD,AD-02,2022-06-30,42058
AD,AD-02,2022-07-31,36477
AD,AD-02,2022-08-31,72890
AD,AD-02,2022-09-30,1470
AD,AD-02,2022-10-31,53070
AD,AD-02,2022-11-30,23579
AD,AD-02,2022-12-31,88732
AD,AD-02,2023-01-31,30654
AD,AD-02,2023-02-28,75390
AD,AD-02,2023-03-31,66685
AD,AD-02,2023-04-30,79143
AD,AD-02,2023-05-31,53284
AD,AD-02,2023-06-30,36433
AD,AD-02,2023-07-31,64358
AD,AD-02,2023-08-31,43218
AD,AD-02,2023-09-30,24539
AD,AD-02,2023-10-31,55249
AD,AD-02,2023-11-30,40980
AD,AD-02,2023-12-31,33982
AD,AD-03,2020-01-31,46714
AD,AD-03,2020-02-29,7710
AD,AD-03,2020-03-31,15405
AD,AD-03,2020-04-30,59367
AD,AD-03,2020-05-31,28983
AD,AD-03,2020-06-30,89168
AD,AD-03,2020-07-31,39054
AD,AD-03,2020-08-31,66692
AD,AD-03,2020-09-30,14489
AD,AD-03,2020-10-31,59666
AD,AD-03,2020-11-30,97530
AD,AD-03,2020-12-31,43164
AD,AD-03,2021-01-31,68007
AD,AD-03,2021-02-28,13110
AD,AD-03,2021-03-31,49120
AD,AD-03,2021-04-30,57057
AD,AD-03,2021-05-31,28596
AD,AD-03,2021-06-30,24027
AD,AD-03,2021-07-31,88739
AD,AD-03,2021-08-31,83907
AD,AD-03,2021-09-30,80386
AD,AD-03,2021-10-31,73040
AD,AD-03,2021-11-30,33980
AD,AD-03,2021-12-31,6554
AD,AD-03,2022-01-31,56785
AD,AD-03,2022-02-28,70632
AD,AD-03,2022-03-31,29311
AD,AD-03,2022-04-30,59516
AD,AD-03,2022-05-31,72491
AD,AD-03,2022-06-30,47030
AD,AD-03,2022-07-31,61815
AD,AD-03,2022-08-31,94846
AD,AD-03,2022-09-30,76805
AD,AD-03,2022-10-31,98587
AD,AD-03,2022-11-30,1724
AD,AD-03,2022-12-31,54252
AD,AD-03,2023-01-31,7654
AD,AD-03,2023-02-28,49723
AD,AD-03,2023-03-31,48444
AD,AD-03,2023-04-30,74988
AD,AD-03,2023-05-31,63636
AD,AD-03,2023-06-30,60188
AD,AD-03,2023-07-31,81631
AD,AD-03,2023-08-31,49395
AD,AD-03,2023-09-30,75612
AD,AD-03,2023-10-31,80378
AD,AD-03,2023-11-30,78250
AD,AD-03,2023-12-31,46167
AD,AD-04,2020-01-31,38436
AD,AD-04,2020-02-29,29623
AD,AD-04,2020-03-31,13591
AD,AD-04,2020-04-30,33645
AD,AD-04,2020-05-31,78384
AD,AD-04,2020-06-30,1122
AD,AD-04,2020-07-31,8894
AD,AD-04,2020-08-31,63299
AD,AD-04,2020-09-30,85856
AD,AD-04,2020-10-31,41791
AD,AD-04,2020-11-30,20670
AD,AD-04,2020-12-31,45765
AD,AD-04,2021-01-31,14459
AD,AD-04,2021-02-28,50301
AD,AD-04,2021-03-31,8157
AD,AD-04,2021-04-30,36137
AD,AD-04,2021-05-31,56534
AD,AD-04,2021-06-30,28546
AD,AD-04,2021-07-31,80950
AD,AD-04,2021-08-31,79391
AD,AD-04,2021-09-30,72605
AD,AD-04,2021-10-31,65114
AD,AD-04,2021-11-30,19195
AD,AD-04,2021-12-31,3902
AD,AD-04,2022-01-31,97570
AD,AD-04,2022-02-28,66560
AD,AD-04,2022-03-31,98309
AD,AD-04,2022-04-30,72075
AD,AD-04,2022-05-31,16727
AD,AD-04,2022-06-30,84345
AD,AD-04,2022-07-31,32010
AD,AD-04,2022-08-31,98709
AD,AD-04,2022-09-30,76322
AD,AD-04,2022-10-31,85621
AD,AD-04,2022-11-30,2541
AD,AD-04,2022-12-31,18673
AD,AD-04,2023-01-31,91357
AD,AD-04,2023-02-28,48475
AD,AD-04,2023-03-31,17456
AD,AD-04,2023-04-30,22477
AD,AD-04,2023-05-31,8069
AD,AD-04,2023-06-30,58328
AD,AD-04,2023-07-31,56950
AD,AD-04,2023-08-31,68062
AD,AD-04,2023-09-30,98922
AD,AD-04,2023-10-31,10184
AD,AD-04,2023-11-30,19906
AD,AD-04,2023-12-31,3047
AD,AD-05,2020-01-31,50552
AD,AD-05,2020-02-29,62158
AD,AD-05,2020-03-31,35777
AD,AD-05,2020-04-30,63710
AD,AD-05,2020-05-31,24656
AD,AD-05,2020-06-30,20998
AD,AD-05,2020-07-31,26170
AD,AD-05,2020-08-31,3474
AD,AD-05,2020-09-30,63989
AD,AD-05,2020-10-31,85832
AD,AD-05,2020-11-30,4349
AD,AD-05,2020-12-31,94026
AD,AD-05,2021-01-31,2788
AD,AD-05,2021-02-28,36823
AD,AD-05,2021-03-31,28345
AD,AD-05,2021-04-30,61660
AD,AD-05,2021-05-31,96254
AD,AD-05,2021-06-30,51679
AD,AD-05,2021-07-31,28344
AD,AD-05,2021-08-31,96651
AD,AD-05,2021-09-30,19775
AD,AD-05,2021-10-31,55676
AD,AD-05,2021-11-30,47314
AD,AD-05,2021-12-31,3737
AD,AD-05,2022-01-31,86678
AD,AD-05,2022-02-28,68453
AD,AD-05,2022-03-31,6176
AD,AD-05,2022-04-30,4646
AD,AD-05,2022-05-31,53857
